AD_num,reported,candidate,party,votes,scrape_time
AD   75,96.70%,Jenifer Rajkumar,(Democratic),4629,2025-07-02_13:52:53.292283
AD   75,96.70%,WRITE-IN,,138,2025-07-02_13:52:53.292283
AD   76,98.96%,Jumaane D. Williams,(Democratic),14286,2025-07-02_13:52:53.292283
AD   76,98.96%,Marty Dolan,(Democratic),3646,2025-07-02_13:52:53.292283
AD   76,98.96%,Jenifer Rajkumar,(Democratic),6842,2025-07-02_13:52:53.292283
AD   76,98.96%,WRITE-IN,,184,2025-07-02_13:52:53.292283
AD   77,89.87%,Jumaane D. Williams,(Democratic),4764,2025-07-02_13:52:53.292283
AD   77,89.87%,Marty Dolan,(Democratic),516,2025-07-02_13:52:53.292283
AD   77,89.87%,Jenifer Rajkumar,(Democratic),919,2025-07-02_13:52:53.292283
AD   77,89.87%,WRITE-IN,,37,2025-07-02_13:52:53.292283
AD   78,99.00%,Jumaane D. Williams,(Democratic),4840,2025-07-02_13:52:53.292283
AD   78,99.00%,Marty Dolan,(Democratic),607,2025-07-02_13:52:53.292283
AD   78,99.00%,Jenifer Rajkumar,(Democratic),1066,2025-07-02_13:52:53.292283
AD   78,99.00%,WRITE-IN,,39,2025-07-02_13:52:53.292283
AD   79,97.59%,Jumaane D. Williams,(Democratic),5170,2025-07-02_13:52:53.292283
AD   79,97.59%,Marty Dolan,(Democratic),509,2025-07-02_13:52:53.292283
AD   79,97.59%,Jenifer Rajkumar,(Democratic),884,2025-07-02_13:52:53.292283
AD   79,97.59%,WRITE-IN,,38,2025-07-02_13:52:53.292283
AD   80,98.67%,Jumaane D. Williams,(Democratic),6039,2025-07-02_13:52:53.292283
AD   80,98.67%,Marty Dolan,(Democratic),839,2025-07-02_13:52:53.292283
AD   80,98.67%,Jenifer Rajkumar,(Democratic),1485,2025-07-02_13:52:53.292283
AD   80,98.67%,WRITE-IN,,53,2025-07-02_13:52:53.292283
AD   81,97.37%,Jumaane D. Williams,(Democratic),9491,2025-07-02_13:52:53.292283
